FBI FBI-Ba SILICE_250
286	7.070811272	19.12958336	13.81464863
287.0700073	7.104471207	19.29606056	13.93714619
288	7.130464077	19.44151306	14.06497192
289.0700073	7.135426998	19.62750053	14.17830467
290	7.155732155	19.76512527	14.26162434
291.0700073	7.162266254	19.88277245	14.32800198
292	7.142815113	19.93585587	14.3530159
293.0700073	7.086044312	19.89296532	14.2722683
294	7.018928528	19.79325294	14.16350651
295.0700073	6.914420605	19.62649536	14.00833416
296	6.829888344	19.41516876	13.80784988
297.0700073	6.729029655	19.14500046	13.55630875
298	6.601850033	18.84754753	13.2624836
299.0700073	6.464287758	18.54615211	12.97251606
300	6.322348118	18.18969154	12.70207119
301.0700073	6.171186924	17.82798004	12.39041328
302	6.029172897	17.40475845	12.07617474
303.0700073	5.864541531	16.98609924	11.75039673
304	5.704670906	16.60030365	11.42787075
305.0700073	5.569267273	16.2124176	11.13958454
306	5.45771122	15.91302299	10.89627838
307.0700073	5.347627163	15.62526608	10.6612072
308	5.267207623	15.35025024	10.44480515
309.0700073	5.147708893	15.12737465	10.25769424
310	5.055315495	14.90956211	10.10900879
311.0700073	4.968142986	14.67906094	9.94775486
312	4.878578186	14.44608593	9.772754669
313.0700073	4.791385174	14.19510746	9.583911896
314	4.576869011	13.58492851	9.135101318
315.0700073	4.360732555	12.96356583	8.701901436
316	4.141717911	12.32705975	8.252916336
317.0700073	3.939444304	11.70816517	7.836814404
318	3.714514732	11.14055157	7.423086643
319.0700073	3.510424137	10.59060764	7.042613029
320	3.309896469	10.07336807	6.705294609
321.0700073	3.13716054	9.582178116	6.37338686
322	2.97966814	9.126725197	6.045099258
323.0700073	2.814695358	8.688426018	5.743655205
324	2.673255205	8.320930481	5.499595642
325.0700073	2.551751614	8.017580986	5.289739132
326	2.473085165	7.799536228	5.123847485
327.0700073	2.543142319	8.027162552	5.275437832
328	2.60865593	8.340666771	5.445399761
329.0700073	2.694100142	8.806473732	5.703635216
330	2.802785635	9.337140083	6.041090012
331.0700073	2.962734461	9.914135933	6.453738213
332	3.108791113	10.54895878	6.898881435
333.0700073	3.254572392	11.1783123	7.342619896
334	3.400179386	11.81003189	7.785409451
335.0700073	3.521383286	12.33702564	8.215158463
336	3.634744644	12.82253933	8.539523125
337.0700073	3.720871925	13.18308258	8.765197754
338	3.771233082	13.42648411	8.913332939
339.0700073	3.77231431	13.5194006	8.972648621
340	3.725282192	13.43135834	8.910196304
341.0700073	3.657908678	13.21540642	8.767494202
342	3.5813694	12.81549454	8.50333786
343.0700073	3.461442232	12.33082294	8.147870064
344	3.293759584	11.77965736	7.701871872
345.0700073	3.153161526	11.2197485	7.276881218
346	3.020746231	10.6865015	6.849475384
347.0700073	2.905173302	10.23024845	6.502473831
348	2.835002184	9.935072899	6.207186222
349.0700073	2.822894096	9.763756752	6.044818401
350	2.822072506	9.743450165	5.9968853
351.0599976	2.876256704	9.870285034	6.049016953
351.9599915	2.972725868	10.15686798	6.20480299
353.0299988	3.105851889	10.56369305	6.437512875
353.9299927	3.278528452	11.08412266	6.736868382
355	3.443593025	11.598526	7.057333469
356.0599976	3.607047319	12.10147476	7.367221355
356.9599915	3.758261204	12.57161427	7.614880562
358.0299988	3.901046276	12.92798328	7.777668476
358.9299927	3.981832027	13.18021297	7.894275188
360	4.05121088	13.3728199	7.936869144
361.0700073	4.089012146	13.48652172	7.930176258
362	4.062917233	13.52229214	7.898950577
363.0700073	4.061107159	13.55991173	7.814712524
364	4.022788525	13.49520302	7.689458847
365.0700073	3.952466011	13.38052559	7.51306963
366	3.877586842	13.22837162	7.3195014
367.0700073	3.793889284	13.04130936	7.130227089
368	3.728273153	12.90898132	6.951939106
369.0700073	3.674247026	12.86094952	6.813520908
370	3.677758694	12.88117409	6.753413677
371.0599976	3.643985987	13.04625607	6.728438854
371.9599915	3.660883427	13.34252167	6.751721382
373.0299988	3.683568478	13.69645882	6.784292698
373.9299927	3.710986137	14.16570759	6.857980728
375	3.762146473	14.77789021	6.913526058
376.0599976	3.802006006	15.48402405	6.986228466
376.9599915	3.854568005	16.43982506	7.084205151
378.0299988	3.925918341	17.59531975	7.214336872
378.9299927	3.97578001	19.08695221	7.381135941
380	4.018092155	20.80928993	7.547123909
381.0700073	4.052163601	22.91326141	7.766716003
382	4.095140934	25.34298897	8.009967804
383.0700073	4.114381313	28.28333282	8.343892097
384	4.178803921	31.81938171	8.803215027
385.0700073	4.246445656	35.97688293	9.391810417
386	4.320720673	40.58369827	10.10490227
387.0700073	4.440862179	45.59368134	10.86532879
388	4.563676834	50.90925217	11.63117027
389.0700073	4.685856342	56.49575043	12.4357996
390	4.780612469	62.21065903	13.17233944
391.0599976	4.854712963	67.95848083	13.81798649
391.9599915	4.933603287	73.5305481	14.38539219
393.0299988	4.999612331	78.96028137	14.87896729
393.9299927	5.040884495	84.08272552	15.24205494
395	5.082635403	88.86089325	15.51046848
396.0599976	5.13261795	93.17734528	15.58942986
396.9599915	5.156368732	96.90355682	15.4924078
398.0299988	5.182790756	99.95088959	15.18937111
398.9299927	5.177041054	102.5382462	14.7128191
400	5.124095917	104.7056503	14.11558151
401.0599976	5.061409473	106.4488373	13.47005463
401.9599915	5.007001877	107.8542862	12.75927734
403.0299988	4.946699619	108.9988174	12.06679153
403.9299927	4.901208878	110.0261536	11.40398407
405	4.85612154	111.0542755	10.78220558
406.0599976	4.819803715	112.0886459	10.21185303
406.9599915	4.823910236	113.2152786	9.706594467
408.0299988	4.834722996	114.5128937	9.284833908
408.9299927	4.855183125	115.9545746	8.990161896
